,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
1582,Eastern Kentucky,27,10,17,0.37,-11.11,-4.95,8.0,10.0,6.0,6.0,4.0,11.0,1897.0,2053.0,0.391,0.307,0.495,53.6,50.2,5.9,0.457,21.7,0.259,6.0,OVC,-1,False,False,False,1998
1583,Eastern Michigan,30,20,10,0.667,6.7,2.67,13.0,5.0,11.0,1.0,6.0,8.0,2394.0,2266.0,0.286,0.296,0.545,50.7,52.0,8.7,0.525,16.3,0.189,9.0,MAC,13.0,True,False,False,1998
1584,Eastern Washington,27,16,11,0.593,-6.2,-3.16,10.0,6.0,11.0,1.0,3.0,9.0,2053.0,2130.0,0.36,0.246,0.517,50.1,53.4,6.2,0.49,17.6,0.23,3.0,Big Sky,-1,False,False,False,1998
1585,Evansville,30,15,15,0.5,1.71,-0.36,9.0,9.0,10.0,5.0,4.0,8.0,2099.0,2005.0,0.393,0.326,0.58,47.5,62.4,5.5,0.539,19.1,0.298,7.0,MVC,-1,False,False,False,1998
1586,Fairfield,27,12,15,0.444,-2.86,-1.83,7.0,11.0,8.0,4.0,2.0,10.0,1896.0,1924.0,0.479,0.26,0.518,52.0,54.0,12.1,0.482,19.7,0.309,9.0,MAAC,-1,False,False,False,1998
1587,Fairleigh Dickinson,30,23,7,0.767,2.9,-5.38,13.0,3.0,10.0,2.0,10.0,4.0,2511.0,2253.0,0.454,0.339,0.548,55.6,51.5,13.7,0.514,20.6,0.306,2.0,NEC,15.0,True,False,False,1998
1588,Florida,29,14,15,0.483,8.97,6.42,6.0,10.0,11.0,4.0,2.0,8.0,2208.0,2134.0,0.347,0.413,0.55,48.0,56.2,10.5,0.526,21.1,0.229,6.0,SEC,-1,False,False,False,1998
1589,Florida A&M,28,11,17,0.393,-16.14,-11.82,8.0,10.0,7.0,5.0,3.0,11.0,1998.0,2117.0,0.437,0.209,0.48,50.4,42.0,13.8,0.453,21.8,0.253,5.0,MEAC,-1,False,False,False,1998
1590,Florida Atlantic,27,5,22,0.185,-19.25,-3.21,5.0,11.0,3.0,9.0,2.0,13.0,1671.0,2108.0,0.349,0.359,0.492,47.0,51.5,4.1,0.454,22.9,0.239,5.0,TAAC,-1,False,False,False,1998
1591,Florida International,29,21,8,0.724,2.54,-5.67,13.0,3.0,13.0,0.0,6.0,8.0,2533.0,2295.0,0.391,0.354,0.551,49.5,52.6,5.3,0.525,15.5,0.258,2.0,TAAC,-1,False,False,False,1998
1592,Florida State,32,18,14,0.563,12.93,10.78,6.0,10.0,8.0,5.0,7.0,7.0,2287.0,2218.0,0.399,0.239,0.525,53.4,55.1,12.6,0.492,20.0,0.266,7.0,ACC,12.0,True,False,False,1998
1593,Fordham,27,6,21,0.222,-3.39,3.73,2.0,14.0,4.0,7.0,1.0,13.0,1762.0,1954.0,0.354,0.321,0.492,46.9,56.4,7.2,0.449,18.6,0.25,6.0,A-10,-1,False,False,False,1998
1594,Fresno State,34,21,13,0.618,9.32,5.63,10.0,4.0,13.0,4.0,7.0,6.0,2835.0,2629.0,0.313,0.358,0.526,48.9,65.2,12.4,0.508,16.3,0.192,10.0,WAC,-1,False,False,False,1998
1595,Furman,29,9,20,0.31,-15.16,-8.12,5.0,9.0,6.0,7.0,3.0,10.0,1790.0,1954.0,0.394,0.22,0.496,52.2,53.3,5.0,0.459,22.2,0.26,10.0,Southern,-1,False,False,False,1998
1596,George Mason,27,9,18,0.333,-6.24,-0.58,6.0,10.0,4.0,8.0,4.0,10.0,1697.0,1850.0,0.354,0.301,0.491,46.3,50.0,8.1,0.466,19.5,0.216,6.0,CAA,-1,False,False,False,1998
1597,George Washington,33,24,9,0.727,9.91,4.76,11.0,5.0,11.0,2.0,8.0,4.0,2414.0,2244.0,0.464,0.236,0.52,53.0,58.3,6.5,0.484,18.1,0.301,8.0,A-10,9.0,True,False,False,1998
1598,Georgetown,31,16,15,0.516,8.75,5.99,6.0,12.0,12.0,4.0,3.0,9.0,2223.0,2052.0,0.407,0.173,0.493,53.8,47.4,8.6,0.46,18.3,0.257,13.0,Big East,-1,False,False,False,1998
1599,Georgia,35,20,15,0.571,13.11,9.03,7.0,9.0,11.0,4.0,6.0,6.0,2654.0,2511.0,0.359,0.371,0.524,51.1,52.0,7.8,0.488,16.7,0.251,4.0,SEC,-1,False,False,False,1998
1600,Georgia Southern,28,10,18,0.357,-14.22,-6.93,4.0,10.0,6.0,6.0,3.0,11.0,1824.0,1912.0,0.315,0.38,0.515,49.6,54.5,6.1,0.49,23.6,0.204,11.0,Southern,-1,False,False,False,1998
1601,Georgia State,28,16,12,0.571,-5.4,-8.9,11.0,5.0,11.0,3.0,4.0,8.0,2096.0,1960.0,0.314,0.278,0.55,48.4,49.6,8.4,0.517,17.6,0.23,7.0,TAAC,-1,False,False,False,1998
1602,Georgia Tech,33,19,14,0.576,12.82,8.7,6.0,10.0,11.0,6.0,4.0,7.0,2518.0,2382.0,0.382,0.357,0.531,50.8,56.9,13.1,0.498,19.9,0.261,6.0,ACC,-1,False,False,False,1998
1603,Gonzaga,34,24,10,0.706,10.5,1.72,10.0,4.0,11.0,1.0,7.0,8.0,2729.0,2357.0,0.367,0.333,0.57,51.4,54.4,8.5,0.541,16.2,0.258,1.0,WCC,-1,False,False,False,1998
1604,Grambling,28,16,12,0.571,-13.35,-9.79,10.0,6.0,10.0,1.0,4.0,8.0,2030.0,2058.0,0.366,0.252,0.519,49.5,52.0,7.5,0.483,20.8,0.252,3.0,SWAC,-1,False,False,False,1998
1605,Green Bay,29,17,12,0.586,3.93,-0.57,7.0,7.0,14.0,5.0,3.0,7.0,1868.0,1737.0,0.463,0.241,0.567,46.7,59.5,10.3,0.518,18.9,0.348,4.0,MW Coll,-1,False,False,False,1998
1606,Hampton,26,14,12,0.538,-14.61,-11.46,11.0,7.0,8.0,3.0,6.0,9.0,1770.0,1852.0,0.453,0.33,0.518,52.8,54.9,10.1,0.474,22.8,0.312,3.0,MEAC,-1,False,False,False,1998
1607,Hartford,27,15,12,0.556,-4.65,-4.73,11.0,7.0,9.0,3.0,6.0,7.0,2138.0,2116.0,0.463,0.276,0.555,47.9,53.1,6.3,0.506,18.5,0.343,4.0,AEC,-1,False,False,False,1998
1608,Harvard,26,13,13,0.5,-8.08,-8.28,6.0,8.0,7.0,6.0,6.0,7.0,1812.0,1791.0,0.289,0.307,0.546,49.3,51.9,6.1,0.516,17.5,0.21,4.0,Ivy,-1,False,False,False,1998
1609,Hawaii,30,21,9,0.7,11.22,4.38,8.0,6.0,17.0,5.0,4.0,4.0,2329.0,2124.0,0.386,0.239,0.543,50.1,55.8,8.3,0.504,18.0,0.276,12.0,WAC,-1,False,False,False,1998
1610,Hofstra,31,19,12,0.613,-1.79,-4.48,11.0,7.0,10.0,3.0,6.0,8.0,2286.0,2180.0,0.409,0.268,0.52,51.7,57.2,9.8,0.484,18.1,0.274,5.0,AEC,-1,False,False,False,1998
1611,Holy Cross,27,7,20,0.259,-16.58,-8.25,3.0,9.0,2.0,8.0,4.0,9.0,1851.0,2073.0,0.344,0.316,0.506,49.0,52.4,6.3,0.465,18.6,0.246,6.0,Patriot,-1,False,False,False,1998
1612,Houston,29,9,20,0.31,-7.26,3.06,2.0,14.0,6.0,7.0,3.0,10.0,1843.0,2114.0,0.337,0.236,0.498,53.0,51.6,7.3,0.461,25.5,0.233,11.0,CUSA,-1,False,False,False,1998
1613,Howard,28,8,20,0.286,-20.21,-12.21,5.0,13.0,4.0,8.0,2.0,10.0,1937.0,2161.0,0.421,0.258,0.489,49.3,50.9,7.9,0.45,20.9,0.273,9.0,MEAC,-1,False,False,False,1998
1614,Idaho,27,15,12,0.556,2.09,0.73,9.0,7.0,11.0,2.0,3.0,9.0,1910.0,1852.0,0.394,0.223,0.538,52.6,48.3,5.3,0.5,19.8,0.277,4.0,Big West,-1,False,False,False,1998
1615,Idaho State,26,6,20,0.231,-17.52,-4.04,2.0,14.0,3.0,8.0,1.0,10.0,1791.0,2129.0,0.401,0.292,0.494,47.6,51.2,6.0,0.47,19.7,0.236,8.0,Big Sky,-1,False,False,False,1998
1616,Illinois,33,23,10,0.697,15.21,8.97,13.0,3.0,13.0,1.0,6.0,4.0,2301.0,2095.0,0.339,0.317,0.53,49.4,56.7,7.4,0.5,17.0,0.231,2.0,Big Ten,5.0,True,False,False,1998
1617,Illinois State,31,25,6,0.806,9.64,3.41,16.0,2.0,11.0,1.0,9.0,4.0,2363.0,2141.0,0.34,0.325,0.564,50.2,66.4,6.8,0.54,18.4,0.229,1.0,MVC,9.0,True,False,False,1998
1619,Indiana,32,20,12,0.625,14.18,10.71,9.0,7.0,10.0,2.0,4.0,7.0,2457.0,2346.0,0.392,0.273,0.578,49.2,64.6,7.8,0.542,19.0,0.286,6.0,Big Ten,7.0,True,False,False,1998
1620,Indiana State,27,16,11,0.593,3.46,0.64,10.0,8.0,11.0,2.0,5.0,8.0,1875.0,1799.0,0.411,0.291,0.541,49.4,56.6,9.1,0.505,19.1,0.284,5.0,MVC,-1,False,False,False,1998
1621,Iona,33,27,6,0.818,8.55,-2.08,15.0,3.0,12.0,0.0,13.0,3.0,2652.0,2295.0,0.416,0.298,0.551,50.3,54.7,14.7,0.517,17.3,0.286,1.0,MAAC,12.0,True,False,False,1998
1622,Iowa,31,20,11,0.645,17.25,6.05,9.0,7.0,11.0,5.0,7.0,5.0,2486.0,2091.0,0.394,0.297,0.573,54.0,64.5,9.5,0.54,19.1,0.28,5.0,Big Ten,-1,False,False,False,1998
1623,Iowa State,30,12,18,0.4,0.76,6.01,5.0,11.0,10.0,6.0,1.0,9.0,1910.0,2031.0,0.446,0.23,0.509,50.9,53.7,7.3,0.474,21.5,0.286,11.0,Big 12,-1,False,False,False,1998
1624,Jackson State,27,14,13,0.519,-8.58,-6.84,11.0,5.0,10.0,1.0,4.0,11.0,1885.0,1834.0,0.411,0.276,0.494,49.4,45.8,10.4,0.456,19.3,0.269,2.0,SWAC,-1,False,False,False,1998
1625,Jacksonville,27,8,19,0.296,-7.84,-2.76,6.0,12.0,4.0,8.0,4.0,10.0,1776.0,1913.0,0.464,0.302,0.504,49.6,44.2,7.5,0.471,22.6,0.288,8.0,Sun Belt,-1,False,False,False,1998
1626,Jacksonville State,26,12,14,0.462,-16.85,-11.26,6.0,10.0,9.0,4.0,3.0,10.0,1958.0,2065.0,0.411,0.414,0.532,48.0,49.1,5.3,0.491,19.5,0.289,10.0,TAAC,-1,False,False,False,1998
1627,James Madison,27,11,16,0.407,-5.01,-1.3,6.0,10.0,6.0,7.0,5.0,7.0,1729.0,1829.0,0.387,0.31,0.503,50.4,44.4,8.9,0.466,19.4,0.26,5.0,CAA,-1,False,False,False,1998
1628,Kansas,39,35,4,0.897,22.83,6.51,15.0,1.0,16.0,0.0,8.0,2.0,3300.0,2628.0,0.332,0.241,0.562,55.8,59.7,12.3,0.538,17.5,0.226,1.0,Big 12,1.0,True,False,False,1998
1629,Kansas City,27,9,18,0.333,-11.16,-5.32,7.0,9.0,7.0,6.0,2.0,11.0,1842.0,1964.0,0.32,0.247,0.502,47.4,53.0,4.7,0.477,18.7,0.202,6.0,Mid-Cont,-1,False,False,False,1998
1630,Kansas State,29,17,12,0.586,9.39,3.42,7.0,9.0,12.0,2.0,3.0,9.0,2161.0,1988.0,0.33,0.28,0.538,52.6,61.7,10.3,0.508,18.1,0.23,8.0,Big 12,-1,False,False,False,1998
1631,Kent State,30,13,17,0.433,-3.76,0.68,9.0,9.0,10.0,3.0,3.0,11.0,2082.0,2170.0,0.362,0.316,0.516,51.0,61.8,7.0,0.496,21.2,0.217,2.0,MAC,-1,False,False,False,1998
1632,Kentucky,39,35,4,0.897,22.95,9.85,14.0,2.0,9.0,3.0,11.0,0.0,3123.0,2612.0,0.339,0.283,0.558,55.4,59.5,15.9,0.534,17.3,0.229,1.0,SEC,2.0,True,True,True,1998
1633,La Salle,27,9,18,0.333,-3.01,3.77,5.0,11.0,6.0,4.0,2.0,11.0,1928.0,2111.0,0.376,0.412,0.51,48.2,58.7,7.0,0.473,16.9,0.256,12.0,A-10,-1,False,False,False,1998
1634,Lafayette,28,19,9,0.679,-4.42,-8.19,10.0,2.0,9.0,1.0,7.0,8.0,2096.0,1904.0,0.397,0.378,0.545,53.2,56.7,8.9,0.509,19.4,0.277,1.0,Patriot,-1,False,False,False,1998
1635,Lamar,29,15,14,0.517,-3.47,-4.16,7.0,11.0,8.0,5.0,5.0,9.0,1936.0,1916.0,0.46,0.228,0.499,52.7,42.0,5.0,0.459,20.3,0.3,7.0,Sun Belt,-1,False,False,False,1998
1636,Lehigh,27,10,17,0.37,-15.71,-7.47,4.0,8.0,6.0,5.0,4.0,11.0,1915.0,2089.0,0.409,0.282,0.495,49.7,50.4,5.5,0.459,17.8,0.265,5.0,Patriot,-1,False,False,False,1998
1637,Liberty,28,11,17,0.393,-14.72,-8.26,5.0,7.0,6.0,8.0,5.0,9.0,1800.0,1930.0,0.383,0.346,0.534,47.2,58.6,5.7,0.498,21.8,0.268,4.0,Big South,-1,False,False,False,1998
1638,Little Rock,28,15,13,0.536,-5.39,-2.8,10.0,8.0,8.0,6.0,5.0,5.0,1887.0,1931.0,0.384,0.265,0.521,48.9,59.0,7.9,0.492,17.7,0.247,4.0,Sun Belt,-1,False,False,False,1998
1639,Long Beach State,29,10,19,0.345,-8.51,-2.72,5.0,11.0,7.0,7.0,1.0,10.0,1850.0,2018.0,0.365,0.255,0.489,49.1,51.4,12.0,0.46,20.2,0.228,11.0,Big West,-1,False,False,False,1998
1640,Long Island University,32,21,11,0.656,2.62,-2.04,14.0,2.0,11.0,0.0,5.0,9.0,3102.0,2776.0,0.316,0.354,0.512,49.4,50.6,6.2,0.5,13.9,0.177,1.0,NEC,-1,False,False,False,1998
1641,Louisiana,31,18,13,0.581,-0.28,-1.44,12.0,6.0,12.0,5.0,6.0,6.0,2336.0,2280.0,0.415,0.346,0.522,49.1,53.8,4.6,0.487,17.2,0.276,3.0,Sun Belt,-1,False,False,False,1998
1642,Louisiana State,27,9,18,0.333,1.08,6.2,2.0,14.0,8.0,8.0,1.0,9.0,1680.0,1765.0,0.434,0.312,0.511,52.3,54.2,4.3,0.476,22.8,0.28,12.0,SEC,-1,False,False,False,1998
1643,Louisiana Tech,27,12,15,0.444,-1.41,-2.81,9.0,9.0,9.0,5.0,2.0,8.0,1849.0,1811.0,0.418,0.282,0.539,54.1,49.7,3.6,0.508,20.6,0.276,5.0,Sun Belt,-1,False,False,False,1998
1644,Louisiana-Monroe,29,13,16,0.448,-8.09,-4.34,8.0,8.0,8.0,4.0,5.0,9.0,2263.0,2433.0,0.403,0.265,0.524,48.7,50.7,7.7,0.493,20.0,0.262,5.0,Southland,-1,False,False,False,1998
1645,Louisville,32,12,20,0.375,7.9,9.03,5.0,11.0,6.0,8.0,3.0,9.0,2267.0,2303.0,0.288,0.342,0.523,48.3,60.5,8.7,0.501,20.7,0.188,5.0,CUSA,-1,False,False,False,1998
1646,Loyola (IL),30,15,15,0.5,-4.99,-1.34,6.0,8.0,11.0,2.0,3.0,11.0,1997.0,2046.0,0.382,0.258,0.504,50.7,57.4,7.8,0.467,18.6,0.256,6.0,MW Coll,-1,False,False,False,1998
1647,Loyola (MD),28,12,16,0.429,-3.2,-0.56,9.0,9.0,7.0,5.0,4.0,10.0,2143.0,2217.0,0.473,0.276,0.539,49.7,52.8,5.1,0.491,21.3,0.34,5.0,MAAC,-1,False,False,False,1998
1648,Loyola Marymount,27,7,20,0.259,-6.97,1.45,3.0,11.0,5.0,8.0,2.0,11.0,1994.0,2209.0,0.351,0.396,0.511,47.7,55.6,8.4,0.478,19.4,0.235,8.0,WCC,-1,False,False,False,1998
1649,Maine,27,7,20,0.259,-13.65,-4.09,4.0,14.0,6.0,5.0,1.0,11.0,1920.0,2068.0,0.308,0.364,0.507,46.9,57.2,5.0,0.48,20.5,0.201,10.0,AEC,-1,False,False,False,1998
1650,Manhattan,29,12,17,0.414,-4.72,-0.89,7.0,11.0,8.0,5.0,2.0,12.0,1903.0,2014.0,0.378,0.344,0.527,50.3,61.7,7.0,0.493,20.1,0.257,7.0,MAAC,-1,False,False,False,1998
1651,Marist,28,11,17,0.393,-7.2,-3.52,7.0,11.0,8.0,5.0,2.0,11.0,1939.0,2042.0,0.416,0.252,0.524,45.3,51.6,8.3,0.481,17.0,0.292,8.0,MAAC,-1,False,False,False,1998
1652,Marquette,31,20,11,0.645,10.55,5.26,8.0,8.0,13.0,5.0,6.0,5.0,2024.0,1860.0,0.332,0.371,0.501,53.4,55.7,9.8,0.467,19.3,0.225,4.0,CUSA,-1,False,False,False,1998
1653,Marshall,27,11,16,0.407,-2.98,0.62,7.0,11.0,9.0,4.0,2.0,11.0,1882.0,1875.0,0.302,0.323,0.534,49.0,54.0,8.5,0.509,19.8,0.203,4.0,MAC,-1,False,False,False,1998
1654,Maryland,32,21,11,0.656,18.79,12.1,10.0,6.0,12.0,2.0,4.0,6.0,2520.0,2306.0,0.403,0.242,0.537,51.3,66.3,12.2,0.503,18.3,0.273,3.0,ACC,4.0,True,False,False,1998
1655,Maryland-Baltimore County,28,14,14,0.5,-11.01,-9.37,6.0,6.0,7.0,5.0,6.0,8.0,1978.0,1991.0,0.373,0.333,0.532,50.4,60.3,7.2,0.494,20.0,0.266,3.0,Big South,-1,False,False,False,1998
1656,Maryland-Eastern Shore,27,9,18,0.333,-16.17,-11.39,7.0,11.0,7.0,4.0,2.0,12.0,1838.0,1967.0,0.422,0.212,0.485,49.3,37.6,4.1,0.445,20.1,0.275,7.0,MEAC,-1,False,False,False,1998
1657,Massachusetts,32,21,11,0.656,11.99,7.27,12.0,4.0,8.0,2.0,7.0,5.0,2231.0,2080.0,0.38,0.179,0.517,54.2,54.3,13.3,0.478,18.1,0.266,3.0,A-10,7.0,True,False,False,1998
1658,McNeese State,26,7,19,0.269,-16.44,-7.72,4.0,12.0,6.0,8.0,1.0,11.0,1817.0,2026.0,0.354,0.363,0.523,46.2,58.0,7.4,0.492,20.5,0.237,9.0,Southland,-1,False,False,False,1998
1659,Memphis,29,17,12,0.586,8.04,5.56,12.0,4.0,11.0,4.0,6.0,7.0,2151.0,2079.0,0.422,0.262,0.533,48.6,51.6,7.3,0.506,20.3,0.268,7.0,CUSA,-1,False,False,False,1998
1660,Mercer,26,5,21,0.192,-19.23,-8.73,2.0,14.0,5.0,9.0,0.0,12.0,1767.0,1989.0,0.327,0.339,0.49,48.9,49.3,4.7,0.463,19.2,0.207,12.0,TAAC,-1,False,False,False,1998
1661,Miami (FL),28,18,10,0.643,10.87,6.37,11.0,7.0,11.0,3.0,7.0,5.0,1962.0,1836.0,0.343,0.238,0.505,50.9,53.7,10.9,0.475,20.4,0.226,8.0,Big East,11.0,True,False,False,1998
1662,Miami (OH),29,17,12,0.586,3.62,1.94,9.0,9.0,10.0,3.0,5.0,8.0,2006.0,1932.0,0.387,0.263,0.537,52.3,49.1,4.8,0.497,19.1,0.279,3.0,MAC,-1,False,False,False,1998
1663,Michigan,34,25,9,0.735,18.79,9.64,11.0,5.0,12.0,3.0,7.0,5.0,2630.0,2284.0,0.382,0.326,0.584,54.8,57.6,10.5,0.557,19.2,0.265,4.0,Big Ten,3.0,True,False,False,1998
1664,Michigan State,30,22,8,0.733,18.65,9.25,13.0,3.0,12.0,3.0,8.0,3.0,2202.0,1920.0,0.359,0.277,0.529,56.3,55.8,10.0,0.499,18.1,0.241,1.0,Big Ten,4.0,True,False,False,1998
1665,Middle Tennessee,28,19,9,0.679,-1.8,-6.59,12.0,6.0,11.0,2.0,7.0,7.0,1984.0,1781.0,0.398,0.344,0.542,49.4,59.9,8.4,0.511,16.9,0.266,3.0,OVC,-1,False,False,False,1998
1666,Milwaukee,27,3,24,0.111,-9.89,1.97,2.0,12.0,2.0,10.0,1.0,13.0,1651.0,1971.0,0.336,0.369,0.482,44.8,56.9,5.2,0.45,21.0,0.22,8.0,MW Coll,-1,False,False,False,1998
1667,Minnesota,35,20,15,0.571,11.95,8.32,6.0,10.0,15.0,6.0,2.0,8.0,2530.0,2403.0,0.367,0.274,0.531,48.7,55.3,11.0,0.49,15.6,0.266,8.0,Big Ten,-1,False,False,False,1998
1668,Mississippi,29,22,7,0.759,17.22,7.07,12.0,4.0,14.0,0.0,6.0,5.0,2334.0,1974.0,0.474,0.31,0.543,54.3,50.0,10.6,0.511,17.2,0.309,7.0,SEC,4.0,True,False,False,1998
1669,Mississippi State,30,15,15,0.5,7.75,5.12,4.0,12.0,7.0,6.0,5.0,6.0,2131.0,2053.0,0.341,0.24,0.517,50.5,54.2,7.7,0.493,17.0,0.216,11.0,SEC,-1,False,False,False,1998
1670,Mississippi Valley State,27,6,21,0.222,-16.95,-7.57,6.0,10.0,5.0,4.0,1.0,12.0,1996.0,2221.0,0.296,0.402,0.451,49.5,37.2,8.5,0.427,16.9,0.175,8.0,SWAC,-1,False,False,False,1998
1671,Missouri,32,17,15,0.531,6.81,7.41,8.0,8.0,14.0,2.0,0.0,10.0,2280.0,2299.0,0.369,0.31,0.518,49.2,57.5,6.7,0.48,19.4,0.259,6.0,Big 12,-1,False,False,False,1998
1672,Missouri State,32,16,16,0.5,7.46,3.64,11.0,7.0,9.0,4.0,4.0,7.0,2369.0,2247.0,0.441,0.258,0.546,51.5,63.7,7.1,0.499,18.3,0.325,4.0,MVC,-1,False,False,False,1998
1673,Monmouth,27,4,23,0.148,-16.38,-4.23,3.0,13.0,2.0,9.0,1.0,11.0,1624.0,1952.0,0.237,0.357,0.514,40.9,64.0,4.1,0.493,21.9,0.159,8.0,NEC,-1,False,False,False,1998
1674,Montana,30,16,14,0.533,-3.65,-3.41,9.0,7.0,11.0,4.0,5.0,7.0,2052.0,1992.0,0.382,0.264,0.535,51.6,57.3,5.3,0.486,20.9,0.291,6.0,Big Sky,-1,False,False,False,1998
1675,Montana State,30,19,11,0.633,2.76,-3.96,9.0,7.0,12.0,2.0,4.0,9.0,2398.0,2096.0,0.317,0.362,0.579,51.1,72.6,6.3,0.545,18.2,0.243,5.0,Big Sky,-1,False,False,False,1998
1676,Morehead State,26,3,23,0.115,-15.16,-3.85,2.0,16.0,2.0,9.0,1.0,14.0,1653.0,1947.0,0.352,0.271,0.474,53.1,58.8,5.9,0.437,21.9,0.232,10.0,OVC,-1,False,False,False,1998
1677,Morgan State,28,12,16,0.429,-13.99,-8.88,11.0,7.0,7.0,3.0,4.0,12.0,2034.0,2177.0,0.36,0.293,0.499,44.9,52.3,11.7,0.472,20.3,0.223,4.0,MEAC,-1,False,False,False,1998
1678,Mount St. Mary's,28,13,15,0.464,-4.99,-5.6,8.0,8.0,6.0,5.0,5.0,8.0,2000.0,1983.0,0.289,0.358,0.51,48.6,59.3,9.6,0.486,17.3,0.188,5.0,NEC,-1,False,False,False,1998
1679,Murray State,33,29,4,0.879,6.82,-6.35,16.0,2.0,16.0,0.0,10.0,2.0,2862.0,2334.0,0.416,0.249,0.577,53.4,52.1,8.3,0.55,15.8,0.282,1.0,OVC,9.0,True,False,False,1998
1680,Navy,30,19,11,0.633,-3.79,-7.49,10.0,2.0,13.0,2.0,6.0,8.0,2132.0,1941.0,0.405,0.186,0.499,53.5,53.3,8.2,0.461,18.6,0.267,2.0,Patriot,16.0,True,False,False,1998
1681,NC State,32,17,15,0.531,10.84,8.53,5.0,11.0,13.0,8.0,3.0,5.0,2062.0,1988.0,0.375,0.327,0.536,47.6,57.2,7.9,0.497,17.8,0.269,8.0,ACC,-1,False,False,False,1998
1682,Nebraska,32,20,12,0.625,8.72,5.65,10.0,6.0,13.0,2.0,5.0,7.0,2290.0,2192.0,0.335,0.225,0.51,50.8,58.9,12.0,0.486,19.7,0.209,4.0,Big 12,11.0,True,False,False,1998
1683,Nevada,28,16,12,0.571,0.77,0.69,11.0,5.0,11.0,4.0,5.0,8.0,2156.0,2119.0,0.418,0.33,0.573,49.5,63.0,6.1,0.534,19.7,0.307,2.0,Big West,-1,False,False,False,1998
1685,New Hampshire,27,10,17,0.37,-10.28,-4.55,6.0,12.0,8.0,5.0,1.0,11.0,1767.0,1889.0,0.358,0.322,0.522,48.8,59.1,8.1,0.487,20.2,0.248,8.0,AEC,-1,False,False,False,1998
1686,New Mexico,32,24,8,0.75,14.98,5.17,11.0,3.0,15.0,1.0,6.0,6.0,2423.0,2109.0,0.317,0.417,0.587,50.3,62.5,9.3,0.556,15.7,0.24,2.0,WAC,4.0,True,False,False,1998
1687,New Mexico State,30,18,12,0.6,3.76,0.07,8.0,8.0,14.0,3.0,2.0,8.0,2250.0,2069.0,0.374,0.349,0.548,51.4,51.5,7.8,0.521,17.3,0.249,5.0,Big West,-1,False,False,False,1998
1688,New Orleans,27,15,12,0.556,-0.87,-2.98,9.0,9.0,8.0,6.0,6.0,6.0,1870.0,1813.0,0.42,0.277,0.535,51.2,58.2,9.7,0.499,20.3,0.287,6.0,Sun Belt,-1,False,False,False,1998
1689,Niagara,27,14,13,0.519,0.51,-1.42,10.0,8.0,9.0,4.0,5.0,7.0,1953.0,1901.0,0.447,0.237,0.566,52.3,61.3,8.0,0.524,19.4,0.325,4.0,MAAC,-1,False,False,False,1998
1690,Nicholls State,29,19,10,0.655,-5.33,-5.94,15.0,1.0,9.0,0.0,8.0,7.0,2228.0,2194.0,0.395,0.278,0.54,47.3,60.4,7.6,0.505,18.1,0.274,1.0,Southland,16.0,True,False,False,1998
1692,North Carolina,38,34,4,0.895,26.67,10.38,13.0,3.0,13.0,1.0,9.0,2.0,3113.0,2494.0,0.429,0.234,0.592,55.2,61.8,12.3,0.56,15.8,0.305,2.0,ACC,1.0,True,True,False,1998
1693,North Carolina A&T,27,8,19,0.296,-18.02,-10.98,7.0,11.0,6.0,7.0,2.0,11.0,1791.0,1963.0,0.403,0.349,0.511,50.9,48.8,6.0,0.481,22.8,0.256,8.0,MEAC,-1,False,False,False,1998
1694,North Texas,26,5,21,0.192,-9.89,4.03,4.0,12.0,3.0,6.0,2.0,15.0,1992.0,2354.0,0.256,0.412,0.463,46.1,42.2,4.9,0.43,17.0,0.179,6.0,Big West,-1,False,False,False,1998
1695,Northeastern,28,14,14,0.5,-6.6,-5.35,9.0,9.0,8.0,2.0,4.0,11.0,1890.0,1925.0,0.354,0.248,0.501,50.8,46.3,6.4,0.459,18.1,0.253,7.0,AEC,-1,False,False,False,1998
1696,Northeastern Illinois,25,6,19,0.24,-21.26,-6.0,3.0,13.0,5.0,6.0,1.0,13.0,1733.0,2037.0,0.367,0.325,0.498,46.4,55.4,5.3,0.458,19.6,0.255,8.0,Mid-Cont,-1,False,False,False,1998
1697,Northern Arizona,29,21,8,0.724,6.5,-5.14,13.0,3.0,14.0,1.0,7.0,6.0,2326.0,1954.0,0.398,0.375,0.62,52.5,65.0,7.5,0.592,20.6,0.292,1.0,Big Sky,15.0,True,False,False,1998
1698,Northern Illinois,26,10,16,0.385,-3.91,-1.87,6.0,12.0,6.0,6.0,3.0,9.0,1764.0,1770.0,0.37,0.246,0.499,51.5,52.3,6.0,0.462,18.8,0.248,11.0,MAC,-1,False,False,False,1998
1699,Northern Iowa,27,10,17,0.37,-0.98,0.17,4.0,14.0,7.0,6.0,3.0,10.0,1869.0,1900.0,0.308,0.34,0.487,50.5,55.6,9.3,0.457,16.9,0.204,9.0,MVC,-1,False,False,False,1998
1700,Northwestern,27,10,17,0.37,2.33,5.59,3.0,13.0,10.0,7.0,0.0,10.0,1636.0,1724.0,0.481,0.312,0.553,55.1,71.4,5.1,0.533,23.8,0.294,9.0,Big Ten,-1,False,False,False,1998
