,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
27,Cal State Fullerton,27,15,12,0.556,3.13,2.2,10.0,8.0,9.0,3.0,5.0,9.0,1937.0,1892.0,0.429,0.232,0.535,48.8,53.0,10.6,0.504,17.5,0.281,6.0,Big West,-1,False,False,False,1993
29,California,30,21,9,0.7,12.79,7.26,12.0,6.0,9.0,3.0,8.0,3.0,2380.0,2214.0,0.398,0.234,0.54,53.2,58.6,8.1,0.509,18.4,0.265,2.0,Pac-10,6.0,True,False,False,1993
30,Campbell,27,12,15,0.444,-13.72,-10.14,10.0,6.0,6.0,4.0,5.0,7.0,1923.0,1988.0,0.286,0.38,0.543,47.2,65.7,6.6,0.522,16.3,0.189,3.0,Big South,-1,False,False,False,1993
31,Canisius,28,10,18,0.357,-6.53,-2.1,5.0,9.0,6.0,5.0,3.0,11.0,1776.0,1900.0,0.303,0.329,0.5,47.6,58.5,7.3,0.464,21.8,0.214,6.0,MAAC,-1,False,False,False,1993
32,Centenary (LA),27,9,18,0.333,-14.66,-7.35,4.0,8.0,4.0,5.0,1.0,11.0,2272.0,2361.0,0.363,0.33,0.51,46.9,53.6,4.7,0.476,16.8,0.243,7.0,TAAC,-1,False,False,False,1993
35,Central Michigan,26,8,18,0.308,-11.82,-2.36,4.0,14.0,3.0,6.0,3.0,9.0,1918.0,2114.0,0.368,0.25,0.507,48.0,50.0,9.0,0.478,18.5,0.235,9.0,MAC,-1,False,False,False,1993
36,Charleston Southern,27,9,18,0.333,-18.53,-9.01,5.0,11.0,3.0,8.0,2.0,10.0,1951.0,2043.0,0.332,0.231,0.532,51.7,52.0,2.1,0.487,19.3,0.257,8.0,Big South,-1,False,False,False,1993
37,Charlotte,28,15,13,0.536,5.37,2.83,6.0,6.0,7.0,4.0,5.0,7.0,2037.0,1954.0,0.435,0.218,0.507,53.9,59.6,8.2,0.473,18.6,0.277,4.0,Metro,-1,False,False,False,1993
38,Chattanooga,33,26,7,0.788,6.63,-3.06,16.0,2.0,11.0,1.0,8.0,3.0,2820.0,2385.0,0.384,0.299,0.579,52.3,55.2,7.9,0.54,15.4,0.289,1.0,Southern,12.0,True,False,False,1993
40,Cincinnati,32,27,5,0.844,22.62,6.62,8.0,2.0,14.0,0.0,8.0,3.0,2383.0,1871.0,0.347,0.258,0.535,53.2,57.0,7.3,0.512,16.9,0.222,1.0,GMWC,2.0,True,False,False,1993
41,Clemson,30,17,13,0.567,10.05,7.55,5.0,11.0,11.0,5.0,4.0,7.0,2376.0,2301.0,0.349,0.298,0.549,50.1,58.2,13.1,0.523,18.5,0.233,7.0,ACC,-1,False,False,False,1993
